,ISSN,Field,Journal Title,Publisher Name,Scopus,Web of Science™,AJG 2021,AJG 2018,AJG 2015,ABS 2010,Journal Citation Reports™ rank,SNIPrank,SJRrank,CiteScore rank,Journal name,JCR Abbreviation,ISSN.y,Category,Total Citations,2021 JIF,2021 JCI,% of OA Gold,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Quartile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,JIF Quartile,AIS Quartile,Citable Items,% of Articles in Citable items,Cited Half-Life,Citing Half-Life,Total Articles,eISSN,ISSN.x,Full Name
65,1469-9656,BUS HIST & ECON  HIST,Journal of the History of Economic Thought,Cambridge University Press,scopus,WoS,2,2,2,,,9.0,10.0,13.0,Journal of the History of Economic Thought,J HIST ECON THOUGHT,1053-8372,HISTORY - AHCI,319,0.583,1.28,2.67%,,0.653,,0.583,0.444,92/494,Q1,81.48,0.001,0.142,0.589,,,Q2,27.0,100%,11.4,33.9,27.0,,,Business History and Economic History
66,1759-3999,BUS HIST & ECON  HIST,Journal of Transport History,SAGE,scopus,,2,2,2,2.0,,21.0,23.0,22.0,Journal of Transport History,J TRANSP HIST,0022-5266,HISTORY - ESCI,155,,1.26,9.84%,,,,,,94/494,Q1,81.07,0.0,0.08,0.427,,,Q1,12.0,100%,10.3,16.4,12.0,,,Business History and Economic History
67,1469-9702,BUS HIST & ECON  HIST,Labor History,Taylor & Francis,scopus,WoS,2,2,2,3.0,11.0,14.0,14.0,18.0,LABOR HISTORY,LABOR HIST-UK,0023-656X,HISTORY - AHCI,387,0.632,0.8,9.85%,,0.719,,0.484,0.135,175/494,Q2,64.68,0.001,0.148,0.371,,,Q3,37.0,97.3%,7.0,17.8,36.0,,,Business History and Economic History
68,1744-9367,BUS HIST & ECON  HIST,Management and Organizational History,Taylor & Francis,scopus,WoS,2,2,2,1.0,,20.0,9.0,10.0,Management & Organizational History,MANAG ORGAN HIST,1744-9359,HISTORY - SSCI,302,1.303,1.73,17.78%,9/102,1.193,Q1,1.273,0.0,52/494,Q1,89.57,0.0,0.082,0.457,91.67,Q1,Q3,12.0,91.67%,8.6,19.4,11.0,,,Business History and Economic History
69,1755-7518,BUS HIST & ECON  HIST,Journal of Historical Research in Marketing,Emerald,scopus,,1,1,,,,17.0,16.0,11.0,Journal of Historical Research in Marketing,J HIST RES MARKETING,1755-750X,BUSINESS - ESCI,229,,0.11,0%,,,,,,265/296,Q4,10.64,0.0,0.045,0.184,,,Q3,17.0,88.24%,8.4,15.1,15.0,,,Business History and Economic History
70,1758-7751,BUS HIST & ECON  HIST,Journal of Management History,Emerald,scopus,,1,1,1,1.0,,19.0,18.0,8.0,Journal of Management History,J MANAG HIST,1751-1348,MANAGEMENT - ESCI,416,,0.29,0%,,,,,,303/393,Q4,23.03,0.0,0.088,0.308,,,Q2,24.0,95.83%,6.8,16.2,23.0,,,Business History and Economic History
71,2041-3335,BUS HIST & ECON  HIST,Revista de Historia Economica - Journal of  Iberian  and Latin American Economic History,Cambridge University Press,scopus,WoS,1,,,,10.0,13.0,15.0,20.0,Revista de Historia Economica,REV HIST ECON,0212-6109,ECONOMICS - SSCI,308,1.8,1.7,13.46%,223/381,1.207,Q4,1.714,0.471,53/572,Q1,90.82,0.001,0.125,0.747,41.6,Q3,Q2,17.0,100%,11.0,17.4,17.0,,,Business History and Economic History
72,1750-2837,BUS HIST & ECON  HIST,Scandinavian Economic History Review,Taylor & Francis,scopus,,1,1,1,,,12.0,11.0,12.0,SCANDINAVIAN ECONOMIC HISTORY REVIEW,SCAND ECON HIST REV,0358-5522,ECONOMICS - ESCI,226,,0.23,54.93%,,,,,,456/572,Q4,20.37,0.0,0.092,0.469,,,Q1,22.0,100%,12.0,17.5,22.0,,,Business History and Economic History
73,1944-7981,ECON,American Economic Review,American Economic Association,scopus,WoS,4*,4*,4*,4.0,6.0,6.0,5.0,7.0,AMERICAN ECONOMIC REVIEW,AM ECON REV,0002-8282,ECONOMICS - SSCI,76487,11.49,3.9,0%,4/381,11.668,Q1,11.141,2.088,2/572,Q1,99.74,0.109,23.369,13.786,99.08,Q1,Q1,114.0,100%,16.4,9.3,114.0,,,Economics
74,1468-0262,ECON,Econometrica,Wiley-Blackwell,scopus,WoS,4*,4*,4*,4.0,7.0,5.0,2.0,6.0,ECONOMETRICA,ECONOMETRICA,0012-9682,ECONOMICS - SSCI,47762,6.383,2.26,0%,33/381,8.252,Q1,6.234,2.315,22/572,Q1,96.24,0.036,7.697,12.055,91.47,Q1,Q1,92.0,100%,32.5,11.4,92.0,,,Economics
75,1537-534X,ECON,Journal of Political Economy,University of Chicago Press,scopus,WoS,4*,4*,4*,4.0,5.0,4.0,3.0,5.0,JOURNAL OF POLITICAL ECONOMY,J POLIT ECON,0022-3808,ECONOMICS - SSCI,33832,9.637,3.37,3.77%,8/381,11.087,Q1,9.453,1.907,5/572,Q1,99.21,0.05,10.77,14.789,98.03,Q1,Q1,86.0,100%,29.2,11.6,86.0,,,Economics
76,1531-4650,ECON,Quarterly Journal of Economics,Oxford University Press,scopus,WoS,4*,4*,4*,4.0,1.0,1.0,1.0,1.0,QUARTERLY JOURNAL OF ECONOMICS,Q J ECON,0033-5533,ECONOMICS - SSCI,41001,19.013,6.8,15.33%,1/381,27.285,Q1,18.525,2.754,1/572,Q1,99.91,0.062,13.411,32.871,99.87,Q1,Q1,57.0,100%,18.9,9.1,57.0,,,Economics
77,1467-937X,ECON,Review of Economic Studies,Oxford University Press,scopus,WoS,4*,4*,4*,4.0,9.0,9.0,4.0,10.0,REVIEW OF ECONOMIC STUDIES,REV ECON STUD,0034-6527,ECONOMICS - SSCI,19568,7.833,2.62,11.51%,17/381,8.409,Q1,7.609,1.209,16/572,Q1,97.29,0.039,8.391,12.657,95.67,Q1,Q1,148.0,95.95%,19.5,11.4,142.0,,,Economics
78,1945-7790,ECON,American Economic Journal: Applied Economics,American Economic Association,scopus,WoS,4,3,3,,8.0,8.0,7.0,4.0,American Economic Journal-Applied Economics,AM ECON J-APPL ECON,1945-7782,ECONOMICS - SSCI,5269,7.966,2.78,0%,14/381,8.86,Q1,7.91,1.486,11/572,Q1,98.16,0.021,4.523,10.36,96.46,Q1,Q1,37.0,100%,7.7,10.3,37.0,,,Economics
79,1945-7715,ECON,American Economic Journal: Macroeconomics,American Economic Association,scopus,WoS,4,3,3,,12.0,12.0,6.0,13.0,American Economic Journal-Macroeconomics,AM ECON J-MACROECON,1945-7707,ECONOMICS - SSCI,3447,6.718,2.0,0%,25/381,6.36,Q1,6.603,2.182,31/572,Q1,94.67,0.013,2.703,7.704,93.57,Q1,Q1,44.0,100%,7.3,9.8,44.0,,,Economics
80,1464-3510,ECON,Biometrika,Oxford University Press,scopus,WoS,4,4,4,,59.0,49.0,34.0,68.0,BIOMETRIKA,BIOMETRIKA,0006-3444,BIOLOGY - SCIE,28961,3.028,0.85,5.93%,44/94,3.287,Q2,2.847,0.826,32/113,Q1,72.12,0.01,2.229,3.044,53.72,Q2,Q1,92.0,100%,38.2,10.9,92.0,,,Economics
81,1469-4360,ECON,Econometric Theory,Cambridge University Press,scopus,WoS,4,4,4,3.0,103.0,98.0,40.0,136.0,ECONOMETRIC THEORY,ECONOMET THEOR,0266-4666,ECONOMICS - SSCI,3913,1.968,0.71,14.71%,200/381,2.286,Q3,1.73,0.288,215/572,Q2,62.5,0.004,0.807,2.092,47.64,Q3,Q1,73.0,100%,17.3,16.0,73.0,,,Economics
82,1468-0297,ECON,Economic Journal,Wiley-Blackwell,scopus,WoS,4,4,4,4.0,25.0,18.0,23.0,24.0,ECONOMIC JOURNAL,ECON J,0013-0133,ECONOMICS - SSCI,17209,3.721,1.31,14.84%,99/381,4.919,Q1,3.662,0.904,96/572,Q1,83.3,0.023,4.986,4.577,74.15,Q2,Q1,136.0,99.26%,16.9,11.4,135.0,,,Economics
83,1468-2354,ECON,International Economic Review,Wiley-Blackwell,scopus,WoS,4,4,4,4.0,69.0,41.0,33.0,64.0,INTERNATIONAL ECONOMIC REVIEW,INT ECON REV,0020-6598,ECONOMICS - SSCI,6064,1.418,0.58,12.44%,267/381,2.041,Q3,1.373,0.237,270/572,Q2,52.88,0.006,1.336,2.086,30.05,Q3,Q1,59.0,100%,21.1,12.1,59.0,,,Economics
84,1537-2707,ECON,Journal of Business and Economic Statistics,Taylor & Francis,scopus,WoS,4,4,4,3.0,31.0,38.0,36.0,56.0,JOURNAL OF BUSINESS & ECONOMIC STATISTICS,J BUS ECON STAT,0735-0015,ECONOMICS - SSCI,8785,5.309,1.75,9.67%,47/381,5.396,Q1,5.154,1.182,44/572,Q1,92.4,0.014,3.079,4.63,87.8,Q1,Q1,143.0,100%,16.9,12.5,143.0,,,Economics
85,1872-6895,ECON,Journal of Econometrics,Elsevier,scopus,WoS,4,4,4,4.0,47.0,34.0,26.0,47.0,Journal of Econometrics,J ECONOMETRICS,0304-4076,ECONOMICS - SSCI,27207,3.363,1.02,6.05%,112/381,3.66,Q2,3.086,2.841,134/572,Q1,76.66,0.019,4.108,2.885,70.73,Q2,Q1,176.0,100%,18.4,13.5,176.0,,,Economics
86,2328-8175,ECON,Journal of Economic Literature,American Economic Association,scopus,WoS,4,4,4,4.0,2.0,3.0,8.0,3.0,JOURNAL OF ECONOMIC LITERATURE,J ECON LIT,0022-0515,ECONOMICS - SSCI,12789,12.905,3.59,0%,3/381,12.793,Q1,12.81,4.84,4/572,Q1,99.39,0.014,3.117,11.317,99.34,Q1,Q1,25.0,64%,14.4,10.6,16.0,,,Economics
87,1944-7965,ECON,Journal of Economic Perspectives,American Economic Association,scopus,WoS,4,4,4,4.0,3.0,2.0,12.0,2.0,JOURNAL OF ECONOMIC PERSPECTIVES,J ECON PERSPECT,0895-3309,ECONOMICS - SSCI,19658,9.944,3.34,100%,7/381,15.656,Q1,9.809,1.31,6/572,Q1,99.04,0.025,5.413,11.845,98.29,Q1,Q1,42.0,100%,15.2,7.2,42.0,,,Economics
88,1095-7235,ECON,Journal of Economic Theory,Elsevier,scopus,WoS,4,4,4,4.0,101.0,61.0,32.0,101.0,JOURNAL OF ECONOMIC THEORY,J ECON THEORY,0022-0531,ECONOMICS - SSCI,9497,1.79,0.61,9.33%,227/381,2.111,Q3,1.634,0.407,258/572,Q2,54.98,0.014,2.959,2.545,40.55,Q3,Q1,162.0,100%,19.6,12.8,162.0,,,Economics
89,1873-0353,ECON,Journal of International Economics,Elsevier,scopus,WoS,4,4,4,3.0,30.0,23.0,24.0,30.0,JOURNAL OF INTERNATIONAL ECONOMICS,J INT ECON,0022-1996,ECONOMICS - SSCI,10795,3.712,1.29,12.45%,100/381,5.051,Q1,3.482,0.632,100/572,Q1,82.6,0.015,3.132,3.375,73.88,Q2,Q1,95.0,100%,11.9,9.7,95.0,,,Economics
90,1537-5307,ECON,Journal of Labor Economics,University of Chicago Press,scopus,WoS,4,4,4,3.0,23.0,16.0,10.0,21.0,JOURNAL OF LABOR ECONOMICS,J LABOR ECON,0734-306X,ECONOMICS - SSCI,6199,4.179,1.85,0.75%,80/381,6.409,Q1,4.051,1.036,38/572,Q1,93.44,0.014,3.063,7.583,79.13,Q1,Q1,55.0,100%,14.4,10.3,55.0,,,Economics
91,1873-1295,ECON,Journal of Monetary Economics,Elsevier,scopus,WoS,4,4,4,4.0,33.0,26.0,16.0,34.0,JOURNAL OF MONETARY ECONOMICS,J MONETARY ECON,0304-3932,"BUSINESS, FINANCE - SSCI",11659,4.63,1.59,7.12%,20/111,5.645,Q1,4.315,1.451,20/221,Q1,91.18,0.017,3.64,5.278,82.43,Q1,Q1,133.0,100%,15.0,9.1,133.0,,,Economics
92,1537-274X,ECON,Journal of the American Statistical Association,Taylor & Francis,scopus,WoS,4,4,4,4.0,28.0,31.0,28.0,39.0,JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION,J AM STAT ASSOC,0162-1459,STATISTICS & PROBABILITY - SCIE,50865,4.369,1.83,6.92%,11/125,5.773,Q1,4.007,0.653,6/163,Q1,96.63,0.034,7.322,4.367,91.6,Q1,Q1,219.0,99.09%,27.1,10.2,217.0,,,Economics
93,1542-4774,ECON,Journal of the European Economic Association,Wiley-Blackwell,scopus,WoS,4,4,4,4.0,19.0,14.0,11.0,20.0,Journal of the European Economic Association,J EUR ECON ASSOC,1542-4766,ECONOMICS - SSCI,6428,4.301,1.56,15.91%,71/381,5.502,Q1,4.203,1.08,66/572,Q1,88.55,0.014,3.091,5.805,81.5,Q1,Q1,87.0,100%,9.8,10.9,87.0,,,Economics
94,1467-9868,ECON,Journal of the Royal Statistical Society. Series B: Statistical Methodology,Wiley-Blackwell,scopus,WoS,4,4,4,4.0,4.0,7.0,14.0,8.0,JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY,J R STAT SOC B,1369-7412,STATISTICS & PROBABILITY - SCIE,34404,4.933,2.17,16.43%,7/125,6.24,Q1,4.787,0.431,3/163,Q1,98.47,0.014,3.104,6.086,94.8,Q1,Q1,51.0,100%,26.2,9.6,51.0,,,Economics
95,1759-7331,ECON,Quantitative Economics,Wiley-Blackwell,scopus,WoS,4,3,3,,53.0,50.0,25.0,62.0,Quantitative Economics,QUANT ECON,1759-7323,ECONOMICS - SSCI,816,2.19,0.87,98.37%,181/381,2.436,Q2,2.095,1.179,166/572,Q2,71.07,0.006,1.299,3.519,52.62,Q2,Q1,39.0,100%,4.9,12.4,39.0,,,Economics
96,1756-2171,ECON,RAND Journal of Economics,Wiley-Blackwell,scopus,WoS,4,4,4,3.0,54.0,37.0,29.0,61.0,RAND JOURNAL OF ECONOMICS,RAND J ECON,0741-6261,ECONOMICS - SSCI,6644,2.25,0.77,11.21%,178/381,2.934,Q2,2.138,0.444,195/572,Q2,66.0,0.007,1.428,3.536,53.41,Q2,Q1,36.0,100%,20.2,13.2,36.0,,,Economics
97,1530-9142,ECON,Review of Economics and Statistics,MIT Press,scopus,WoS,4,4,4,4.0,13.0,13.0,15.0,17.0,REVIEW OF ECONOMICS AND STATISTICS,REV ECON STAT,0034-6535,ECONOMICS - SSCI,22239,6.481,2.17,2.73%,32/381,7.953,Q1,6.412,4.442,26/572,Q1,95.54,0.026,5.595,8.066,91.73,Q1,Q1,52.0,100%,16.3,9.9,52.0,,,Economics
98,1555-7561,ECON,Theoretical Economics,Wiley-Blackwell,scopus,WoS,4,3,3,,77.0,28.0,19.0,57.0,Theoretical Economics,THEOR ECON,1933-6837,ECONOMICS - SSCI,957,1.671,0.54,97.01%,243/381,2.158,Q3,1.588,0.449,284/572,Q2,50.44,0.006,1.292,3.121,36.35,Q3,Q1,49.0,100%,6.2,14.4,49.0,,,Economics
99,1945-774X,ECON,American Economic Journal: Economic Policy,American Economic Association,scopus,WoS,3,3,3,,16.0,15.0,9.0,14.0,American Economic Journal-Economic Policy,AM ECON J-ECON POLIC,1945-7731,ECONOMICS - SSCI,4261,6.067,2.18,0%,38/381,7.81,Q1,5.933,1.333,25/572,Q1,95.72,0.021,4.478,9.07,90.16,Q1,Q1,57.0,100%,6.3,8.8,57.0,,,Economics
100,1945-7685,ECON,American Economic Journal: Microeconomics,American Economic Association,scopus,WoS,3,3,3,,62.0,43.0,21.0,66.0,American Economic Journal-Microeconomics,AM ECON J-MICROECON,1945-7669,ECONOMICS - SSCI,1642,2.458,0.78,0%,162/381,2.49,Q2,2.403,0.786,192/572,Q2,66.52,0.007,1.558,3.858,57.61,Q2,Q1,56.0,100%,7.6,13.6,56.0,,,Economics
101,2640-2068,ECON,American Economic Review: Insights,American Economic Association,,,3,,,,,,,,American Economic Review-Insights,AM ECON REV INSIGHTS,2640-205X,ECONOMICS - SSCI,365,5.429,1.91,0%,45/381,5.536,Q1,5.357,1.344,35/572,Q1,93.97,0.004,0.882,7.717,88.32,Q1,Q1,32.0,100%,1.8,7.7,32.0,,,Economics
102,1467-8276,ECON,American Journal of Agricultural Economics,Wiley-Blackwell,scopus,WoS,3,3,3,3.0,55.0,56.0,61.0,43.0,AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS,AM J AGR ECON,0002-9092,AGRICULTURAL ECONOMICS & POLICY - SCIE,10242,3.757,1.58,15.46%,10/22,4.705,Q1,3.46,1.835,5/35,Q1,87.14,0.006,1.265,1.498,56.82,Q2,Q1,115.0,100%,14.0,8.8,115.0,,,Economics
103,1941-1391,ECON,Annual Review of Economics,Annual Reviews Inc.,scopus,WoS,3,3,3,,18.0,17.0,13.0,19.0,Annual Review of Economics,ANNU REV ECON,1941-1383,ECONOMICS - SSCI,3040,5.97,1.83,1.11%,39/381,8.28,Q1,5.939,0.708,40/572,Q1,93.09,0.012,2.63,9.767,89.9,Q1,Q1,24.0,100%,7.3,8.4,24.0,,,Economics
104,1533-4465,ECON,Brookings Papers on Economic Activity,Brookings Institution Press,scopus,WoS,3,3,3,3.0,10.0,25.0,20.0,42.0,BROOKINGS PAPERS ON ECONOMIC ACTIVITY,BROOKINGS PAP ECO AC,0007-2303,ECONOMICS - SSCI,4269,7.914,2.12,0%,15/381,10.962,Q1,7.286,0.217,27/572,Q1,95.37,0.008,1.714,10.634,96.19,Q1,Q1,23.0,100%,13.8,6.8,23.0,,,Economics
105,1464-3545,ECON,Cambridge Journal of Economics,Oxford University Press,scopus,WoS,3,3,3,3.0,82.0,39.0,107.0,76.0,CAMBRIDGE JOURNAL OF ECONOMICS,CAMB J ECON,0309-166X,ECONOMICS - SSCI,3849,2.273,0.87,8.02%,175/381,2.581,Q2,2.197,0.418,166/572,Q2,71.07,0.004,0.753,1.036,54.2,Q2,Q2,55.0,98.18%,11.7,20.6,54.0,,,Economics
106,1540-5982,ECON,Canadian Journal of Economics,Wiley-Blackwell,scopus,WoS,3,3,3,3.0,145.0,166.0,122.0,170.0,CANADIAN JOURNAL OF ECONOMICS-REVUE CANADIENNE D ECONOMIQUE,CAN J ECON,0008-4085,ECONOMICS - SSCI,2394,1.301,0.44,9.8%,282/381,1.301,Q4,1.282,0.34,339/572,Q3,40.82,0.002,0.477,0.903,26.12,Q3,Q2,50.0,100%,13.6,11.6,50.0,,,Economics
107,1872-7352,ECON,Computational Statistics and Data Analysis,Elsevier,scopus,WoS,3,3,3,,93.0,72.0,82.0,89.0,COMPUTATIONAL STATISTICS & DATA ANALYSIS,COMPUT STAT DATA AN,0167-9473,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE",11584,2.035,0.67,6.12%,88/112,2.023,Q4,1.905,0.437,76/156,Q2,51.6,0.009,1.954,1.053,21.88,Q4,Q2,222.0,100%,12.5,11.9,222.0,,,Economics
108,1873-6106,ECON,Ecological Economics,Elsevier,scopus,WoS,3,3,3,3.0,17.0,53.0,60.0,18.0,ECOLOGICAL ECONOMICS,ECOL ECON,0921-8009,ECOLOGY - SCIE,36099,6.536,1.58,18.31%,21/173,7.3,Q1,5.927,1.825,16/189,Q1,91.8,0.02,4.298,1.454,88.15,Q1,Q1,348.0,98.28%,10.0,7.7,342.0,,,Economics
109,1532-4168,ECON,Econometric Reviews,Taylor & Francis,scopus,WoS,3,3,3,2.0,99.0,51.0,57.0,94.0,Econometric Reviews,ECONOMET REV,0747-4938,ECONOMICS - SSCI,2544,1.605,0.6,8.98%,247/381,1.686,Q3,1.581,0.605,262/572,Q2,54.28,0.003,0.612,1.045,35.3,Q3,Q2,43.0,97.67%,13.0,15.1,42.0,,,Economics
110,1368-423X,ECON,Econometrics Journal,Wiley-Blackwell,scopus,WoS,3,3,3,3.0,106.0,108.0,50.0,125.0,Econometrics Journal,ECONOMET J,1368-4221,ECONOMICS - SSCI,1747,3.071,1.39,13.16%,120/381,4.602,Q1,3.0,0.676,82/572,Q1,85.75,0.004,0.83,4.377,68.64,Q2,Q1,34.0,100%,12.3,11.0,34.0,,,Economics
111,1539-2988,ECON,Economic Development and Cultural Change,University of Chicago Press,scopus,WoS,3,3,3,3.0,79.0,75.0,62.0,85.0,ECONOMIC DEVELOPMENT AND CULTURAL CHANGE,ECON DEV CULT CHANGE,0013-0079,AREA STUDIES - SSCI,3165,1.507,0.95,4.72%,28/84,2.169,Q1,1.48,1.096,58/166,Q2,65.36,0.002,0.443,1.467,67.26,Q2,Q1,52.0,100%,19.1,11.2,52.0,,,Economics
112,1465-7295,ECON,Economic Inquiry,Wiley-Blackwell,scopus,WoS,3,3,3,3.0,110.0,103.0,94.0,111.0,ECONOMIC INQUIRY,ECON INQ,0095-2583,ECONOMICS - SSCI,4340,1.71,0.61,11.5%,236/381,2.095,Q3,1.657,0.418,258/572,Q2,54.98,0.006,1.364,1.155,38.19,Q3,Q2,91.0,97.8%,10.4,10.2,89.0,,,Economics
113,1468-0327,ECON,Economic Policy,Oxford University Press,scopus,WoS,3,3,3,3.0,24.0,19.0,31.0,26.0,ECONOMIC POLICY,ECON POLICY,0266-4658,ECONOMICS - SSCI,2064,3.844,1.12,8.16%,93/381,6.654,Q1,3.813,0.706,118/572,Q1,79.46,0.004,0.863,5.223,75.72,Q1,Q1,17.0,100%,10.7,9.1,17.0,,,Economics
114,1432-0479,ECON,Economic Theory,Springer Nature,scopus,WoS,3,3,3,3.0,123.0,90.0,48.0,139.0,ECONOMIC THEORY,ECON THEOR,0938-2259,ECONOMICS - SSCI,2770,1.423,0.56,20.88%,265/381,1.304,Q4,1.102,0.683,276/572,Q2,51.84,0.004,0.755,0.894,30.58,Q3,Q2,82.0,100%,13.4,14.9,82.0,,,Economics
115,1468-0335,ECON,Economica,Wiley-Blackwell,scopus,WoS,3,3,3,3.0,94.0,79.0,68.0,97.0,ECONOMICA,ECONOMICA,0013-0427,ECONOMICS - SSCI,2988,1.53,0.63,19.35%,253/381,2.436,Q2,1.506,0.146,251/572,Q2,56.21,0.004,0.754,2.064,33.73,Q3,Q1,41.0,100%,15.4,9.8,41.0,,,Economics
116,1873-7374,ECON,Economics Letters,Elsevier,scopus,WoS,3,3,3,3.0,157.0,202.0,137.0,179.0,ECONOMICS LETTERS,ECON LETT,0165-1765,ECONOMICS - SSCI,14959,1.469,0.69,7.2%,259/381,2.123,Q3,1.411,0.455,224/572,Q2,60.93,0.014,2.949,0.704,32.15,Q3,Q3,396.0,100%,9.7,8.5,396.0,,,Economics
117,1873-6181,ECON,Energy Economics,Elsevier,scopus,WoS,3,3,3,2.0,20.0,39.0,46.0,15.0,Energy Economics,ENERG ECON,0140-9883,ECONOMICS - SSCI,33475,9.252,3.05,8.13%,9/381,9.489,Q1,8.027,2.394,9/572,Q1,98.51,0.027,5.721,1.623,97.77,Q1,Q1,541.0,99.63%,5.6,7.0,539.0,,,Economics
118,1573-1502,ECON,Environmental and Resource Economics,Springer Nature,scopus,WoS,3,3,3,2.0,56.0,125.0,98.0,78.0,ENVIRONMENTAL & RESOURCE ECONOMICS,ENVIRON RESOUR ECON,0924-6460,ECONOMICS - SSCI,7043,4.955,1.21,34.79%,54/381,4.042,Q1,4.826,0.455,107/572,Q1,81.38,0.007,1.461,1.161,85.96,Q1,Q2,101.0,98.02%,9.6,9.4,99.0,,,Economics
119,1873-572X,ECON,European Economic Review,Elsevier,scopus,WoS,3,3,3,3.0,73.0,66.0,51.0,70.0,EUROPEAN ECONOMIC REVIEW,EUR ECON REV,0014-2921,ECONOMICS - SSCI,9889,2.445,0.9,6.8%,164/381,3.263,Q2,2.328,0.464,160/572,Q2,72.12,0.014,3.0,1.951,57.09,Q2,Q1,224.0,100%,12.4,9.2,224.0,,,Economics
120,1464-3618,ECON,European Review of Agricultural Economics,Oxford University Press,scopus,WoS,3,3,3,2.0,63.0,60.0,95.0,51.0,EUROPEAN REVIEW OF AGRICULTURAL ECONOMICS,EUR REV AGRIC ECON,0165-1587,AGRICULTURAL ECONOMICS & POLICY - SCIE,2366,4.448,1.42,22.92%,5/22,4.508,Q1,4.083,1.521,8/35,Q1,78.57,0.002,0.423,1.096,79.55,Q1,Q1,48.0,100%,8.1,9.1,48.0,,,Economics
121,1573-6938,ECON,Experimental Economics,Springer Nature,scopus,WoS,3,3,3,2.0,36.0,44.0,41.0,44.0,EXPERIMENTAL ECONOMICS,EXP ECON,1386-4157,ECONOMICS - SSCI,3064,2.387,0.85,40.96%,169/381,2.744,Q2,2.234,0.548,172/572,Q2,70.02,0.005,1.039,2.071,55.77,Q2,Q1,42.0,100%,10.8,10.7,42.0,,,Economics
122,1090-2473,ECON,Games and Economic Behavior,Elsevier,scopus,WoS,3,3,3,4.0,112.0,104.0,53.0,119.0,GAMES AND ECONOMIC BEHAVIOR,GAME ECON BEHAV,0899-8256,ECONOMICS - SSCI,6119,1.265,0.47,9.25%,290/381,1.533,Q3,1.175,0.171,324/572,Q3,43.44,0.01,2.125,1.409,24.02,Q4,Q2,140.0,99.29%,13.5,13.3,139.0,,,Economics
123,1099-1050,ECON,Health Economics (United Kingdom),Wiley-Blackwell,scopus,WoS,3,3,3,2.0,46.0,78.0,74.0,50.0,HEALTH ECONOMICS,HEALTH ECON,1057-9230,ECONOMICS - SSCI,8023,2.395,0.91,24.5%,168/381,3.226,Q2,2.196,0.36,156/572,Q2,72.81,0.009,1.998,1.357,56.04,Q2,Q2,178.0,100%,10.4,8.2,178.0,,,Economics
124,2041-417X,ECON,IMF Economic Review,Springer Nature,scopus,WoS,3,3,3,3.0,38.0,36.0,37.0,52.0,IMF Economic Review,IMF ECON REV,2041-4161,"BUSINESS, FINANCE - SSCI",1122,2.489,0.9,0%,60/111,3.658,Q2,2.426,0.583,72/221,Q2,67.65,0.003,0.607,2.541,46.4,Q3,Q1,24.0,100%,7.2,8.0,24.0,,,Economics
125,1873-7986,ECON,International Journal of Industrial Organization,Elsevier,scopus,WoS,3,3,3,3.0,120.0,114.0,89.0,123.0,INTERNATIONAL JOURNAL OF INDUSTRIAL ORGANIZATION,INT J IND ORGAN,0167-7187,ECONOMICS - SSCI,3458,1.739,0.62,6.15%,232/381,1.829,Q3,1.664,0.197,256/572,Q2,55.33,0.003,0.731,1.073,39.24,Q3,Q2,61.0,100%,13.8,11.7,61.0,,,Economics
126,1751-5823,ECON,International Statistical Review,Wiley-Blackwell,scopus,WoS,3,3,3,,70.0,47.0,91.0,106.0,INTERNATIONAL STATISTICAL REVIEW,INT STAT REV,0306-7734,STATISTICS & PROBABILITY - SCIE,2735,1.946,0.91,16.1%,47/125,3.29,Q1,1.902,0.538,28/163,Q1,83.13,0.003,0.59,1.786,62.8,Q2,Q1,26.0,80.77%,17.0,13.6,21.0,,,Economics
127,1477-9552,ECON,Journal of Agricultural Economics,Wiley-Blackwell,scopus,WoS,3,3,3,3.0,49.0,64.0,101.0,48.0,JOURNAL OF AGRICULTURAL ECONOMICS,J AGR ECON,0021-857X,AGRICULTURAL ECONOMICS & POLICY - SCIE,3130,4.163,1.44,33.33%,7/22,4.303,Q2,3.923,0.462,7/35,Q1,81.43,0.002,0.454,0.964,70.45,Q2,Q2,52.0,98.08%,8.9,8.2,51.0,,,Economics
128,1099-1255,ECON,Journal of Applied Econometrics,Wiley-Blackwell,scopus,WoS,3,3,3,3.0,40.0,33.0,38.0,36.0,JOURNAL OF APPLIED ECONOMETRICS,J APPL ECONOMET,0883-7252,ECONOMICS - SSCI,8525,2.46,0.95,16.67%,160/381,3.487,Q2,2.397,0.41,145/572,Q2,74.74,0.009,1.844,2.666,58.14,Q2,Q1,78.0,100%,14.8,10.9,78.0,,,Economics
